[38.9071923, -77.0368707, 'OFFENSE', 'METHOD', 'BLOCKSITEADDRESS', 'REPORTDATETIME', 'OFFENSE : METHOD', 'BLOCKSITEADDRESS\nREPORTDATETIME'],
[38.9096397, -77.0319598, 'THEFT/OTHER', 'OTHERS', '1400 - 1499 BLOCK OF P STREET NW', '1/1/2013 9:06:00 PM', 'THEFT/OTHER', '1400 - 1499 BLOCK OF P STREET NW\n1/1/2013 9:06:00 PM'],
[38.892275, -76.940978, 'THEFT/OTHER', 'OTHERS', '43RD ROAD NE AND BENNING ROAD NE', '1/2/2013 5:00:00 PM', 'THEFT/OTHER', '43RD ROAD NE AND BENNING ROAD NE\n1/2/2013 5:00:00 PM'],
[38.9020786, -76.9420506, 'ROBBERY', 'OTHERS', '4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE', '1/1/2013 9:12:00 PM', 'ROBBERY', '4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE\n1/1/2013 9:12:00 PM'],
[38.9397327, -77.0249645, 'ASSAULT W/DANGEROUS WEAPON', 'KNIFE', '900  - 999 BLOCK OF SHEPHERD STREET NW', '1/1/2013 9:11:00 PM', 'ASSAULT W/DANGEROUS WEAPON : KNIFE', '900  - 999 BLOCK OF SHEPHERD STREET NW\n1/1/2013 9:11:00 PM'],
[38.92074909999999, -77.0422143, 'THEFT/OTHER', 'OTHERS', '2400 - 2499 BLOCK OF 18TH STREET NW', '1/1/2013 10:00:00 PM', 'THEFT/OTHER', '2400 - 2499 BLOCK OF 18TH STREET NW\n1/1/2013 10:00:00 PM'],
[38.8627601, -76.99347709999999, 'THEFT F/AUTO', 'OTHERS', '2400 - 2499 BLOCK OF SHANNON PLACE SE', '1/1/2013 11:48:00 PM', 'THEFT F/AUTO', '2400 - 2499 BLOCK OF SHANNON PLACE SE\n1/1/2013 11:48:00 PM'],
[38.907199, -76.9832941, 'THEFT/OTHER', 'OTHERS', '1643 - 1699 BLOCK OF TRINIDAD AVENUE NE', '1/2/2013 1:39:00 AM', 'THEFT/OTHER', '1643 - 1699 BLOCK OF TRINIDAD AVENUE NE\n1/2/2013 1:39:00 AM'],
[38.899984, -76.938993, 'BURGLARY', 'OTHERS', '4400 - 4499 BLOCK OF HAYES STREET NE', '1/2/2013 12:10:00 AM', 'BURGLARY', '4400 - 4499 BLOCK OF HAYES STREET NE\n1/2/2013 12:10:00 AM'],
[38.907696, -77.038822, 'THEFT F/AUTO', 'OTHERS', '1700 - 1799 BLOCK OF MASSACHUSETTS AVENUE NW', '1/2/2013 1:03:00 AM', 'THEFT F/AUTO', '1700 - 1799 BLOCK OF MASSACHUSETTS AVENUE NW\n1/2/2013 1:03:00 AM'],
[38.9194104, -76.97086639999999, 'THEFT F/AUTO', 'OTHERS', '2100 - 2199 BLOCK OF 24TH PLACE NE', '1/2/2013 2:00:00 AM', 'THEFT F/AUTO', '2100 - 2199 BLOCK OF 24TH PLACE NE\n1/2/2013 2:00:00 AM'],
[38.9056355, -77.0102831, 'ROBBERY', 'KNIFE', '16 - 68 BLOCK OF M STREET NW', '1/2/2013 2:30:00 AM', 'ROBBERY : KNIFE', '16 - 68 BLOCK OF M STREET NW\n1/2/2013 2:30:00 AM'],
[38.9201129, -76.9703241, 'THEFT F/AUTO', 'OTHERS', '2200 - 2299 BLOCK OF 25TH PLACE NE', '1/2/2013 3:04:00 AM', 'THEFT F/AUTO', '2200 - 2299 BLOCK OF 25TH PLACE NE\n1/2/2013 3:04:00 AM'],
[38.9201129, -76.9703241, 'THEFT F/AUTO', 'OTHERS', '2200 - 2299 BLOCK OF 25TH PLACE NE', '1/2/2013 3:18:00 AM', 'THEFT F/AUTO', '2200 - 2299 BLOCK OF 25TH PLACE NE\n1/2/2013 3:18:00 AM'],
